partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct,oecd_inkl_oct
Turkmenistan,1.575967487,0.126077399,4.91E-07,0.000219391,,0,0,0,0,1,0.08,Asia,0,0,0,0,0
Turks and Caicos Islands,17.31369456,0,0,,,0,0,0,0,0,0,Caribbean/American isl.,1,0,0,1,1
Türkiye,4926.090032,1231.522508,0.004791299,0.041796149,0.008408722,0,0,0,0,0.333179888,0.25,Asia,0,0,1,0,1
Uganda,51.29294667,15.387884,5.99E-05,0.034278996,0.003047376,275.7206184,35.5659365,46.18169759,0.000179672,0.128992662,0.3,Africa,0,0,0,0,0
Ukraine,1431.934756,257.748256,0.001002782,0.031534307,0.006761503,0,0,0,0,0.18172589,0.18,Europe,0,0,0,0,0
United Arab Emirates,7169.632351,0,0,0,0,17167.58695,2104.669557,2875.477045,0.011187184,0.122595538,0,Asia,0,0,0,0,0
United Kingdom,105595.6004,20063.16407,0.078056723,0.062092998,0.02418182,10361.11263,984.4905874,1735.429772,0.006751775,0.095017844,0.19,Europe,0,0,1,0,1
United States,95752.75884,25853.24489,0.100583316,0.011527335,0.009696584,0,0,0,0,0.154100895,0.27,Northern America,0,0,1,0,1
United States Virgin Islands,39.183094,9.051294713,3.52E-05,,,0,0,0,0,0.017883059,0.231,Caribbean/American isl.,0,0,0,1,1
Uruguay,1627.696807,406.9242017,0.001583159,0.098964993,0.036085905,597.4234467,71.01636189,100.0651642,0.000389308,0.118871066,0.25,Latin America,0,0,0,0,0
Uzbekistan,31.57621046,4.736431569,1.84E-05,0.002255457,0.00057661,0,0,0,0,0.158111683,0.15,Asia,0,0,0,0,0
Vanuatu,141.5704642,0,0,0,0,0.458520963,0.000326801,0.076799757,2.99E-07,0.000712728,0,Oceania,0,0,0,0,0
Venezuela,1471.808115,500.4147589,0.001946888,0.330622294,,134.9106715,2.839574323,22.59680059,8.79E-05,0.021047811,0.34,Latin America,0,0,0,0,0
Viet Nam,18612.51059,3722.502117,0.014482577,0.518166386,,8.295511318,1.237396903,1.389452835,5.41E-06,0.149164633,0.2,Asia,0,0,0,0,0
Yemen,420.5947099,84.11894198,0.000327269,,,0,0,0,0,0.011413964,0.2,Asia,0,0,0,0,0
Zambia,92.84919013,32.49721655,0.000126432,0.052095805,0.008764391,0,0,0,0,0.191093761,0.35,Africa,0,0,0,0,0
Zimbabwe,50.35036219,12.44660953,4.84E-05,0.037886807,0.004639405,0,0,0,0,0.229915224,0.2472,Africa,0,0,0,0,0
