partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
Moldova,165.9752813120126,0.0,165.9752813120126,19.917033757441512,0.01037710529407594,0.01037710529407594,0.1678772595970058
Mongolia,384.29393789407624,0.0,384.29393789407624,96.07348447351906,0.01037710529407594,0.01037710529407594,0.1975842462418564
Morocco,2432.5422803003753,0.0,2432.5422803003753,754.0881068931163,0.01037710529407594,0.01037710529407594,0.1606849612829891
Mozambique,4549.967067344308,0.0,4549.967067344308,1455.9894615501785,0.01037710529407594,0.01037710529407594,0.4018711602777128
Namibia,39.559273478930834,0.0,39.559273478930834,12.658967513257867,0.01037710529407594,0.01037710529407594,0.2640294392363583
Nauru,0.0005809666403944965,0.0,0.0005809666403944965,0.00014524166009862412,0.01037710529407594,0.01037710529407594,0.1657857016520884
Nepal,12.420237194192962,0.0,12.420237194192962,3.1050592985482406,0.01037710529407594,0.01037710529407594,0.2380454931228524
Netherlands,16579.003834830102,82410.78295544765,-65831.77912061755,-16457.944780154387,0.01037710529407594,0.01037710529407594,0.0892465158219887
New Zealand,1540.4148613025466,0.0,1540.4148613025466,431.3161611647131,0.01037710529407594,0.01037710529407594,0.2245223162068305
Nicaragua,347.51188228159936,0.0,347.51188228159936,104.2535646844798,0.01037710529407594,0.01037710529407594,0.4003928312418001
North Macedonia,269.33223865280524,100.54529700830724,168.786941644498,16.8786941644498,0.01037710529407594,0.01037710529407594,0.1140608757395819
Norway,3001.2266560161675,0.0,3001.2266560161675,660.2698643235568,0.01037710529407594,0.01037710529407594,0.2962297660675849
Panama,823.1906175795259,2518.0452800162057,-1694.8546624366797,-423.71366560916994,0.01037710529407594,0.01037710529407594,0.0601494341070842
Papua New Guinea,100.37006694903191,0.0,100.37006694903191,30.111020084709573,0.01037710529407594,0.01037710529407594,0.1819329132799815
Paraguay,43.494674808655766,1857.5376775921409,-1814.043002783485,-181.4043002783485,0.01037710529407594,0.01037710529407594,0.0838103243301043
Peru,6908.524509549761,0.0,6908.524509549761,2038.0147303171796,0.01037710529407594,0.01037710529407594,0.2984865442622967
Philippines,9801.586273254461,0.0,9801.586273254461,2940.4758819763383,0.01037710529407594,0.01037710529407594,0.2590943801466874
Poland,9550.121385477567,0.0,9550.121385477567,1814.5230632407377,0.01037710529407594,0.01037710529407594,0.2415662293720115
Portugal,4839.477075633949,1030.0166970619036,3809.4603785720456,1199.9800192501943,0.01037710529407594,0.01037710529407594,0.1447975836241994
Romania,4884.642092982153,1762.9101842570524,3121.7319087251008,499.47710539601616,0.01037710529407594,0.01037710529407594,0.128945278458726
Russia,4906.102719874608,0.0,4906.102719874608,981.2205439749216,0.01037710529407594,0.01037710529407594,0.3089370280053463
Rwanda,85.18932474649385,0.0,85.18932474649385,25.556797423948154,0.01037710529407594,0.01037710529407594,0.5742301586143272
Saint Kitts and Nevis,-0.0,0.0,-0.0,-0.0,0.01037710529407594,0.01037710529407594,0.1657857016520884
Samoa,2569.6658142538136,652.6962426429916,1916.969571610822,517.581784334922,0.01037710529407594,0.01037710529407594,0.0038538929826994
San Marino,-0.0,0.0,-0.0,-0.0,0.01037710529407594,0.01037710529407594,0.1657857016520884
Saudi Arabia,2555.2989850175163,0.0,2555.2989850175163,511.05979700350326,0.01037710529407594,0.01037710529407594,0.4426415637681315
Senegal,199.67299524828562,0.0,199.67299524828562,59.901898574485685,0.01037710529407594,0.01037710529407594,0.2313037670512283
Serbia,732.3397395020522,835.9027594154787,-103.5630199134265,-15.534452987013974,0.01037710529407594,0.01037710529407594,0.1131554004148475
Seychelles,410.9402219326066,28.087465667942585,382.85275626466404,114.8558268793992,0.01037710529407594,0.01037710529407594,0.0019352666940893
Singapore,18127.479191087146,101350.9387431726,-83223.45955208546,-14147.98812385453,0.01037710529407594,0.01037710529407594,0.0607503724034508
Slovak Republic,1437.3699722659817,0.0,1437.3699722659817,301.84769417585613,0.01037710529407594,0.01037710529407594,0.2077124411242859
Slovenia,522.5715837925155,0.0,522.5715837925155,99.28860092057795,0.01037710529407594,0.01037710529407594,0.156411877233164
Solomon Islands,10.340088687645988,0.06303030273808562,10.277058384907903,3.0831175154723707,0.01037710529407594,0.01037710529407594,0.0
South Africa,7539.874901200156,0.0,7539.874901200156,2111.164972336044,0.01037710529407594,0.01037710529407594,0.1525416556124483
Spain,27933.434827868132,0.0,27933.434827868132,6983.358706967033,0.01037710529407594,0.01037710529407594,0.1687697760497217
Sri Lanka,701.5138840823183,0.0,701.5138840823183,196.42388754304915,0.01037710529407594,0.01037710529407594,0.1718585869839777
Sweden,5512.593529732422,35428.46708500286,-29915.873555270442,-6401.996940827875,0.01037710529407594,0.01037710529407594,0.1080087180262138
Switzerland,3828.4494671359416,313700.8083443203,-309872.35887718434,-65533.60681375202,0.01037710529407594,0.01037710529407594,0.0631300858797679
