ISO3,employees + payroll,CCCTB,Three-factor,Double-weighted sales,Sales + employees,# formulas with a loss,loses under ALL formulas,worst loss (any formula),Country,Income group,Region
GUY,-0.9,81.3,88.7,92.1,66.6,1,False,-0.9,Guyana,high_income,Caribbean/American isl.
HKG,-27435.6,-19570.8,-20921.6,-22579.7,-29209.5,5,True,-29209.5,Hong Kong (China),investment_hub,Asia
HND,2661.4,1250.5,2118.6,1841.0,3137.1,0,False,1250.5,Honduras,lower_middle_income,Latin America
HRV,550.3,775.4,887.9,1188.4,1481.4,0,False,550.3,Croatia,high_income,Europe
HTI,0.3,1.0,1.1,1.7,1.7,0,False,0.3,Haiti,lower_middle_income,Caribbean/American isl.
HUN,1559.5,1006.8,1850.7,1905.3,3107.9,0,False,1006.8,Hungary,investment_hub,Europe
IDN,7496.9,-17923.4,-2140.1,-15896.4,-642.3,4,False,-17923.4,Indonesia,upper_middle_income,Asia
IMN,-548.5,-536.8,-538.5,-540.8,-552.5,5,True,-552.5,Isle of Man,investment_hub,Europe
IND,50266.9,55406.0,104363.6,114261.5,170555.5,0,False,50266.9,India,lower_middle_income,Asia
IOT,-0.3,-0.3,-0.3,-0.3,-0.3,5,True,-0.3,British Indian Ocean Territory,investment_hub,Africa
IRL,-44108.4,-22307.2,-23070.5,-15267.9,-19227.0,5,True,-44108.4,Ireland,investment_hub,Europe
IRN,504.2,3603.4,3732.4,5433.7,5590.7,0,False,504.2,Iran,upper_middle_income,Asia
IRQ,-1804.2,1492.5,1581.5,2895.5,2815.4,1,False,-1804.2,Iraq,upper_middle_income,Asia
ISL,824.4,949.7,915.4,908.6,804.7,0,False,804.7,Iceland,high_income,Europe
ISR,-519.4,2621.4,2297.8,4310.8,4401.5,1,False,-519.4,Israel,high_income,Asia
ITA,21038.4,54260.3,55277.3,72532.5,73574.9,0,False,21038.4,Italy,high_income,Europe
JAM,924.1,804.8,985.7,990.1,1235.9,0,False,804.8,Jamaica,upper_middle_income,Caribbean/American isl.
JEY,-268.2,-265.2,-265.3,-265.8,-268.0,5,True,-268.2,Jersey,investment_hub,Europe
JOR,633.5,640.7,836.7,845.3,991.5,0,False,633.5,Jordan,lower_middle_income,Asia
JPN,-58644.3,-66524.5,-85246.1,-100563.0,-131173.1,5,True,-131173.1,Japan,high_income,Asia
KAZ,-2123.3,1356.1,1882.4,2882.9,2519.3,1,False,-2123.3,Kazakhstan,upper_middle_income,Asia
KEN,961.4,2427.2,2945.5,3712.8,4266.6,0,False,961.4,Kenya,lower_middle_income,Africa
KGZ,51.9,59.2,67.6,71.1,79.3,0,False,51.9,Kyrgyzstan,lower_middle_income,Asia
KHM,2485.3,746.9,1304.2,937.7,1999.0,0,False,746.9,Cambodia,lower_middle_income,Asia
KIR,0.0,0.1,0.1,0.1,0.1,0,False,0.0,Kiribati,lower_middle_income,Oceania
KNA,-40.1,-41.1,-39.4,-40.6,-39.5,5,True,-41.1,Saint Kitts and Nevis,high_income,Caribbean/American isl.
KOR,-2536.8,48139.3,46973.7,72386.8,70872.4,1,False,-2536.8,Korea,high_income,Asia
KWT,419.7,1497.4,1529.9,2246.8,2372.0,0,False,419.7,Kuwait,high_income,Asia
LAO,5.6,-15.0,43.9,14.9,56.3,1,False,-15.0,Lao People’s Democratic Republic,lower_middle_income,Asia
LBN,408.2,755.6,803.4,985.9,1053.0,0,False,408.2,Lebanon,lower_middle_income,Asia
LBR,395.0,457.7,480.8,455.3,421.4,0,False,395.0,Liberia,investment_hub,Africa
LBY,-8422.9,-7204.5,-7158.7,-7014.7,-7408.8,5,True,-8422.9,Libya,upper_middle_income,Africa
LCA,-27.2,-16.9,-16.2,-12.0,-13.4,5,True,-27.2,Saint Lucia,upper_middle_income,Caribbean/American isl.
LIE,222.5,69.7,25.4,18.0,23.5,0,False,18.0,Liechtenstein,investment_hub,Europe
LKA,1349.1,1957.2,2339.3,2861.7,3459.9,0,False,1349.1,Sri Lanka,lower_middle_income,Asia
LSO,134.2,21.9,62.5,24.6,83.6,0,False,21.9,Lesotho,lower_middle_income,Africa
LTU,493.0,427.4,532.0,624.4,866.1,0,False,427.4,Lithuania,high_income,Europe
LUX,46678.8,56317.2,55701.2,57983.4,54581.2,0,False,46678.8,Luxembourg,investment_hub,Europe
LVA,581.1,618.5,681.9,814.0,986.8,0,False,581.1,Latvia,high_income,Europe
MAC,-4701.1,-6075.2,-6368.7,-6953.9,-7098.8,5,True,-7098.8,Macau (China),high_income,Asia
MAF,1.9,1.4,1.3,1.3,1.3,0,False,1.3,Saint Martin,high_income,Caribbean/American isl.
MAR,4716.1,3899.6,5960.2,6289.7,9068.6,0,False,3899.6,Morocco,lower_middle_income,Africa
