iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
ESP,3222.8702795617046,7323.858322704467,15335.559028349797,17213.01331226312,Spain,0.1103110451626615,0.25,170092266805.80533,78972636876.33,Europe,0.0,1.0,0.0,0.0,805.7175698904261,807.9024662007869,0.010202490403760586,0.004736944159903022,0.013802576300854016,2034.682684706705,0.005465706431248443
EST,29.977939570553072,4.405569232743257,137.1489817314444,108.30148849005755,Estonia,0.0598366136756778,0.2,5241783966.097848,1200576391.31,Europe,0.0,1.0,0.0,0.0,5.995587914110615,0.2636143442011106,0.0049939245494979075,0.0011438067560372816,8.302755570124022e-06,1.2239362149251973,4.06719732147909e-05
ETH,32.2778442875885,4.440661459603055,405.81566813705695,368.3272356781396,Ethiopia,0.260222246005237,0.3,6008426473.846654,649440030.0399998,Africa,0.0,0.0,0.0,0.0,9.68335328627655,1.155558898766801,0.014910311712199413,0.001611628823024803,8.368890538532363e-06,1.2336853858148196,6.568848478760395e-05
FIN,416.6953202061331,1405.968878371033,1877.8122648920003,2714.421119338142,Finland,0.0859998923934121,0.2,50112824624.28988,17574343814.170002,Europe,0.0,1.0,0.0,0.0,83.33906404122662,120.91317224839516,0.004742086812597307,0.0016630286691289768,0.002649695265155854,390.6002008790474,0.0005653430871146387
FJI,20.1190940205514,0.0,65.91869513650347,42.756549667070125,Fiji,0.1686266504316739,0.2,1160307220.919377,103327640.8,Oceania,0.0,0.0,0.0,0.0,4.02381880411028,0.0,0.03894232727038398,0.003467890858183215,0.0,0.0,2.7296180619214898e-05
FRA,19589.60323292177,0.0,134300.31926465972,112603.81822193971,France,0.1909206948918544,0.34433333,570384960215.5363,212992618347.20996,Europe,0.0,1.0,0.0,0.0,6745.353314570719,0.0,0.03166942294485896,0.01182596629480166,0.0,0.0,0.045758119681448765
FRO,-0.0,4.213554081781991,3.38063544985652,7.594189531638509,Faroe Islands,0.0119541384399745,0.18,,,Europe,0.0,0.0,1.0,0.0,-0.0,0.050369408817941566,,,7.94088295390386e-06,1.1705913950710138,-0.0
GAB,177.1613211494,0.0,246.36794806711748,-44.53970548099787,Gabon,0.0812179497715509,0.3,1608268670.2527184,281956822.86999995,Africa,0.0,0.0,0.0,0.0,53.14839634482,0.0,0.18849835164061554,0.03304696368702402,0.0,0.0,0.00036054014777402664
GBR,3671.4518038741103,19749.31056279791,68451.85215955305,75303.14540623379,United Kingdom,0.0909556218197238,0.2,684083748180.8215,213480270651.85,Europe,0.0,1.0,0.0,0.0,734.2903607748221,1796.3108227501234,0.003439616965692932,0.0010733924943071877,0.037219639419734295,5486.668155833689,0.004981169205279327
GEO,15.405847934860637,22.849434450085404,14.035662326489678,13.912985209949928,Georgia,-0.0029115371402685,0.15,3558799607.396807,443655723.15999985,Asia,0.0,0.0,0.0,0.0,2.310877190229095,-0.0665269770355542,0.005208717186762631,0.0006493417570986688,4.306214682648393e-05,6.347931183595298,1.5676183308473957e-05
GGY,501.0332923458396,197.98927593614505,763.0893163715654,390.94643596956047,Bailiwick of Guernsey,0.0138808837686595,0.0,,,Europe,1.0,0.0,1.0,0.0,0.0,2.748266126710683,,,0.00037313147898939146,55.00452545020481,0.0
GHA,91.79825412540147,0.0,258.8325152872189,324.60805296467686,Ghana,0.1727885161629032,0.25,6210902771.8639,730364846.74,Africa,0.0,0.0,0.0,0.0,22.949563531350368,0.0,0.03142205383211728,0.0036950447260766205,0.0,0.0,0.00015568181913260882
GIB,2.7019385176995234,1.5121957696343054,4.090830001583679,2.35258942600525,Gibraltar,0.0344846222525517,0.0,,,Europe,1.0,0.0,1.0,0.0,0.0,0.05214749988774571,,,2.84989094170499e-06,0.42011169697579187,0.0
GIN,-0.0,12.037272406211189,26.170942451368948,125.5939320157669,Guinea,0.2642746112855506,0.35,,57107436.989999995,Africa,0.0,0.0,0.0,0.0,-0.0,3.181145486089746,-0.0,,2.2685497659864938e-05,3.3441430263729615,-0.0
GLP,-0.0,0.0,0.0,0.0,Guadeloupe,-0.0283953210675186,0.15,,,Caribbean/American isl.,0.0,0.0,0.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0
GNB,2.12947992992796,0.0,4.96391081389064,0.0006343032500869095,Guinea-Bissau,-0.0283953210675186,0.25,,6034164.820000001,Africa,0.0,0.0,0.0,0.0,0.53236998248199,-0.0,0.0882259597413499,,0.0,0.0,3.6114119212407765e-06
GNQ,-0.0,456.7553294705678,30.24387470327594,486.99920417384374,Equatorial Guinea,-0.0283953210675186,0.35,717658985.7046791,78066634.17000002,Africa,0.0,0.0,0.0,0.0,-0.0,-12.969714229617013,-0.0,-0.0,0.000860803146108814,126.89379273493242,-0.0
GRC,1256.84330298445,0.0,1813.1311420594184,666.8347420093801,Greece,0.287692327409995,0.29,52203764605.59289,8387562573.539999,Europe,0.0,1.0,0.0,0.0,364.4845578654905,0.0,0.0434553607999682,0.006981959263268174,0.0,0.0,0.0024725358692216206
GRL,4.989259731667793,0.0,15.507579918357425,10.056405904297145,Greenland,0.2182674484861097,0.318,,,Northern America,0.0,0.0,1.0,0.0,1.586584594670358,0.0,,,0.0,0.0,1.07628354486409e-05
GTM,232.3079307286082,768.9421509229524,443.553149881526,926.5917477542155,Guatemala,0.0760600498706354,0.25,6883765271.268522,1511053567.63,Latin America,0.0,0.0,0.0,0.0,58.07698268215205,58.485778346833406,0.03843476096829739,0.008436804625595517,0.0014491518324644037,213.6241870181783,0.0003939739551621198
GUM,-0.0,54.62819713376032,28.00759041768538,82.63578755144569,Guam,0.0453276666521896,0.35,,,Oceania,0.0,0.0,1.0,0.0,-0.0,2.476168709489187,,,0.00010295254576120604,15.176569767909168,-0.0
HKG,372.36022281897306,46705.615467488955,19268.62371268786,63818.19188526611,Hong Kong (China),0.0791583230832665,0.165,,,Asia,0.0,0.0,0.0,0.0,61.43943676513056,3697.1381989782994,,,0.08802161275701906,12975.552350004698,0.00041678366863108707
HND,617.3332488973016,0.0,894.8454781686365,134.70213461780043,Honduras,0.1672971920015087,0.3,,671749066.71,Latin America,0.0,0.0,0.0,0.0,185.19997466919048,0.0,0.27569814957278227,,0.0,0.0,0.0012563319089021533
