iso3,year,fuel,production,unit,source
TCD,2016,crude_oil_lease_condensate,114.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TGO,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
THA,2016,crude_oil_lease_condensate,524.6818901639344,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TJK,2016,crude_oil_lease_condensate,0.17474,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TKM,2016,crude_oil_lease_condensate,265.5220885245902,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TLS,2016,crude_oil_lease_condensate,30.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TON,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TTO,2016,crude_oil_lease_condensate,97.22859508196721,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TUN,2016,crude_oil_lease_condensate,41.725,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TUR,2016,crude_oil_lease_condensate,62.81476775956284,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TWN,2016,crude_oil_lease_condensate,22.2658,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TZA,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
UGA,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
UKR,2016,crude_oil_lease_condensate,56.563037158469946,thousand_barrels_per_day,EIA_INTL_v2:productId=53
URY,2016,crude_oil_lease_condensate,1.8991,thousand_barrels_per_day,EIA_INTL_v2:productId=53
USA,2016,crude_oil_lease_condensate,14849.860792349727,thousand_barrels_per_day,EIA_INTL_v2:productId=53
UZB,2016,crude_oil_lease_condensate,63.1717,thousand_barrels_per_day,EIA_INTL_v2:productId=53
VCT,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
VEN,2016,crude_oil_lease_condensate,2330.1895907103826,thousand_barrels_per_day,EIA_INTL_v2:productId=53
VGB,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
VIR,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
VNM,2016,crude_oil_lease_condensate,336.55252677595627,thousand_barrels_per_day,EIA_INTL_v2:productId=53
VUT,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
WAK,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
WSM,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
