country_name,iso3,cthi_2019_value,cthi_2021_value,cthi_2024_value,cthi_2019_gsw,cthi_2021_gsw,cthi_2024_gsw,cthi_2019_score,cthi_2021_score,cthi_2024_score,cthi_2019_rank,cthi_2021_rank,cthi_2024_rank,cthi_2019_share,cthi_2021_share,cthi_2024_share,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,fsi_2025_gsw,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score,fsi_2025_share,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_value
China,CHN,658.5805611059852,896.2859391799045,974.4717763428573,0.0367050106829904,0.049467633932243,0.0729240496045522,58.30125853057142,62.50157434166584,61.556055102040816,19.0,19.0,16.0,0.0173378127918629,0.0202516094277586,0.0227245610823449,,,0.7426957,0.0050747,0.006362198,0.0076314662583172,0.006094382610172,,,20.0,28.0,25.0,11.0,12.0,,,54.29,60.075,59.85,66.45,69.73896551724138,0.0173826485944851,,,312.1978,372.5777,397.2478134,577.680381278876,619.5405564044128
Christmas Island,CXR,,,,1.0282393e-08,1.13570139e-08,,,,,,,,,,,,,,2.01e-06,2.07e-07,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Islands,CCK,,,,5.9505814e-09,6.7770875e-09,,,,,,,,,,,,,,2.51e-07,1.91e-06,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,,,,0.0008125989482701,0.0009237677605516,,,,,,,,,,,,,,0.0001234,0.000134356,0.0001665150775806,0.000230267381994,,,,,102.0,108.0,95.0,,,,,56.475,54.325,54.3335,0.0027584179010235,,,,,92.25450441,88.2030750488736,98.31365754803264
Comoros,COM,,,,8.275145072e-07,5.338838758e-07,,,,,,,,,,,,,,,2.33e-06,,,,,,,,,,,,,,,,,,,,,,,,
Congo DRC,COD,,,,6.42714466948e-05,6.09999903536e-05,,,,,,,,,,,,,,1.17e-05,4.45e-06,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,,,,0.0001137951957395,6.3211419459e-05,,,,,,,,,,,,,,6.61e-06,4.06e-06,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,COK,,,,0.0001348809378856,0.0001987653828961,,,,,,,,,,,3.1e-08,1.72e-05,6.74e-06,1.28e-06,4.21e-08,1.5160916291e-06,1.0486723e-09,71.0,78.0,91.0,100.0,133.0,131.0,140.0,75.27,76.87,75.92,74.575,70.3,69.75,71.60206896551725,0.0001046412372227,13.39634467,25.26854,17.80766,44.97323,12.08968373,38.9829277017679,3.729551913762888
Costa Rica,CRI,,252.5670894685906,311.56656561788145,0.0004701204054186,0.00055247572314,0.0007160937000034,,67.51870748299321,70.3555036734694,,40.0,31.0,,0.0057067614548363,0.0072656937055392,6.13e-05,0.00825,0.0097819,0.000142,0.000162991,0.0001448558759875,0.000211403297726,42.0,46.0,67.0,59.0,83.0,105.0,72.0,76.6,71.27,54.58,68.65,62.325,55.8,64.1335,0.0044089816014243,177.2174434,157.6024,74.91603,168.778,132.2436273,91.2461682063749,157.14192803678395
Cote d'Ivoire,CIV,,,,0.0001419999866902,0.0001764187509073,,,,,,,,,,,,,,1.7e-05,1.49e-05,,,,,,,,,,,,,,,,,,,,,,,,
