Country or Area,SNA93 Table Code,Sub Group,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
Andorra,3.2,Individual consumption expenditure of households,Education,10,2018,1100,Euro,2008,Western calendar year,14991000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2018,1100,Euro,2008,Western calendar year,71260000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2018,1100,Euro,2008,Western calendar year,132086000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2018,1100,Euro,2008,Western calendar year,1125445665,3
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2018,1100,Euro,2008,Western calendar year,168955000,3
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure,P.31,2018,1100,Euro,2008,Western calendar year,1294400311,"3,4"
Andorra,3.2,Individual consumption expenditure of general government,Housing,14.1,2018,1100,Euro,2008,Western calendar year,3686082.11,3
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2018,1100,Euro,2008,Western calendar year,167137626.5,3
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2018,1000,Euro,2008,Western calendar year,61206000,
Andorra,3.2,Individual consumption expenditure of general government,Recreation and culture,14.3,2018,1100,Euro,2008,Western calendar year,39787403.7,3
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2018,1100,Euro,2008,Western calendar year,77330303.31,3
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2018,1000,Euro,2008,Western calendar year,66433000,
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2018,1100,Euro,2008,Western calendar year,196335494.5,3
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2018,1000,Euro,2008,Western calendar year,22235000,
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2018,1100,Euro,2008,Western calendar year,484276910.2,3
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2018,1000,Euro,2008,Western calendar year,149874000,5
Andorra,3.2,,Equals: Total actual individual consumption,P.41,2018,1100,Euro,2008,Western calendar year,1778677000,
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2017,1100,Euro,2008,Western calendar year,194611000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2017,1000,Euro,2008,Western calendar year,194611000,2
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2017,1100,Euro,2008,Western calendar year,16893000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2017,1000,Euro,2008,Western calendar year,16893000,2
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2017,1100,Euro,2008,Western calendar year,71263000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2017,1000,Euro,2008,Western calendar year,71263000,2
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2017,1100,Euro,2008,Western calendar year,407515757.1,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2017,1000,Euro,2008,Western calendar year,417641000,2
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2017,1100,Euro,2008,Western calendar year,43664000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2017,1000,Euro,2008,Western calendar year,43664000,2
Andorra,3.2,Individual consumption expenditure of households,Health,6,2017,1100,Euro,2008,Western calendar year,22707000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Health,6,2017,1000,Euro,2008,Western calendar year,22707000,2
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2017,1100,Euro,2008,Western calendar year,167200000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2017,1000,Euro,2008,Western calendar year,167200000,2
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2017,1100,Euro,2008,Western calendar year,44400000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2017,1000,Euro,2008,Western calendar year,44400000,2
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2017,1100,Euro,2008,Western calendar year,64220000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2017,1000,Euro,2008,Western calendar year,64220000,2
Andorra,3.2,Individual consumption expenditure of households,Education,10,2017,1100,Euro,2008,Western calendar year,14476000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Education,10,2017,1000,Euro,2008,Western calendar year,14476000,2
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2017,1100,Euro,2008,Western calendar year,76071000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2017,1000,Euro,2008,Western calendar year,76071000,2
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2017,1100,Euro,2008,Western calendar year,130600000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2017,1000,Euro,2008,Western calendar year,130600000,2
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2017,1100,Euro,2008,Western calendar year,1086449430,3
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2017,1000,Euro,2008,Western calendar year,1096574000,
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2017,1100,Euro,2008,Western calendar year,167173000,3
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2017,1000,Euro,2008,Western calendar year,167173000,
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure,P.31,2017,1100,Euro,2008,Western calendar year,1253622371,"3,4"
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure,P.31,2017,1000,Euro,2008,Western calendar year,1263747000,
Andorra,3.2,Individual consumption expenditure of general government,Housing,14.1,2017,1100,Euro,2008,Western calendar year,3370933.098,3
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2017,1100,Euro,2008,Western calendar year,161116666.5,3
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2017,1000,Euro,2008,Western calendar year,58080000,
Andorra,3.2,Individual consumption expenditure of general government,Recreation and culture,14.3,2017,1100,Euro,2008,Western calendar year,38137395.8,3
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2017,1100,Euro,2008,Western calendar year,75096741.87,3
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2017,1000,Euro,2008,Western calendar year,64566000,
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2017,1100,Euro,2008,Western calendar year,182784686.4,3
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2017,1000,Euro,2008,Western calendar year,20290000,
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2017,1100,Euro,2008,Western calendar year,460506423.8,3
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2017,1000,Euro,2008,Western calendar year,142936000,5
Andorra,3.2,,Equals: Total actual individual consumption,P.41,2017,1100,Euro,2008,Western calendar year,1714126000,
Andorra,3.2,,Equals: Total actual individual consumption,P.41,2017,1000,Euro,2008,Western calendar year,1406683000,
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2016,1100,Euro,2008,Western calendar year,190637000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2016,1000,Euro,2008,Western calendar year,190637000,2
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2016,1100,Euro,2008,Western calendar year,16081000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2016,1000,Euro,2008,Western calendar year,16081000,2
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2016,1100,Euro,2008,Western calendar year,69383000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2016,1000,Euro,2008,Western calendar year,69383000,2
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2016,1100,Euro,2008,Western calendar year,388969663.3,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2016,1000,Euro,2008,Western calendar year,394835000,2
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2016,1100,Euro,2008,Western calendar year,41735000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2016,1000,Euro,2008,Western calendar year,41735000,2
Andorra,3.2,Individual consumption expenditure of households,Health,6,2016,1100,Euro,2008,Western calendar year,22674000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Health,6,2016,1000,Euro,2008,Western calendar year,22674000,2
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2016,1100,Euro,2008,Western calendar year,160866000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2016,1000,Euro,2008,Western calendar year,160866000,2
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2016,1100,Euro,2008,Western calendar year,41559000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2016,1000,Euro,2008,Western calendar year,41559000,2
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2016,1100,Euro,2008,Western calendar year,60196000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2016,1000,Euro,2008,Western calendar year,60196000,2
Andorra,3.2,Individual consumption expenditure of households,Education,10,2016,1100,Euro,2008,Western calendar year,14944000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Education,10,2016,1000,Euro,2008,Western calendar year,14944000,2
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2016,1100,Euro,2008,Western calendar year,82671000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2016,1000,Euro,2008,Western calendar year,82671000,2
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2016,1100,Euro,2008,Western calendar year,128435000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2016,1000,Euro,2008,Western calendar year,128435000,2
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2016,1100,Euro,2008,Western calendar year,1050205027,3
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2016,1000,Euro,2008,Western calendar year,1056071000,
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2016,1100,Euro,2008,Western calendar year,167946000,3
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2016,1000,Euro,2008,Western calendar year,167946000,
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure,P.31,2016,1100,Euro,2008,Western calendar year,1218150820,"3,4"
