year,cou,own,isic,GO,flag_go,GVA,flag_gva,EXP,flag_exgr,IMP,flag_imgr
2000,AUT,D,C19,3366.3215,"e,a",1166.961707,e,525.870001,e,1503.140474,e
2000,AUT,D,C20,1827.754062,"e,a",789.7635028,"e,a",930.9932092,"e,a",415.613685,"e,a"
2000,AUT,D,C21,778.7180566,"e,a",407.5150534,"e,a",343.5275769,"e,a",125.3660718,"e,a"
2000,AUT,D,C22,2737.176521,"e,a",1195.050119,"e,a",1262.792243,"e,a",618.8809828,"e,a"
2000,AUT,D,C23,3585.647079,"e,a",1729.140228,"e,a",873.0245669,"e,a",391.2063792,"e,a"
2000,AUT,D,C24,5466.383276,"e,a",1872.371954,"e,a",3153.804105,"e,a",1419.557348,"e,a"
2000,AUT,D,C25,6010.273071,"e,a",2784.274155,"e,a",1953.651818,"e,a",994.940626,"e,a"
2000,AUT,D,C26,1816.33021,"e,a",836.9522054,"e,a",1067.080028,"e,a",516.5808861,"e,a"
2000,AUT,D,C27,2994.011135,"e,a",1317.140857,"e,a",1684.906901,"e,a",704.8705478,"e,a"
2000,AUT,D,C28,5598.391108,"e,a",2428.469145,"e,a",3702.259598,"e,a",1220.001569,"e,a"
2000,AUT,D,C29,3388.216038,"e,a",1199.98217,"e,a",2307.45223,"e,a",1174.304105,"e,a"
2000,AUT,D,C30,554.0654961,"e,a",183.9558076,"e,a",212.2993583,"e,a",156.0823911,"e,a"
2000,AUT,D,C31T33,5264.145916,"e,a",2579.898154,"e,a",2095.96031,"e,a",890.9332567,"e,a"
2000,AUT,D,D35_E36T39,12110.67864,"e,a",6210.846641,e,430.1810245,e,1297.431901,e
2000,AUT,D,F41T43,26943.08357,,13477.12008,"e,a",377.3540099,"e,a",3150.382057,"e,a"
2000,AUT,D,G45T47,29663.66725,"e,a",18517.86825,"e,a",11359.25547,"e,a",2517.200798,"e,a"
2000,AUT,D,H49,10211.73413,"e,a",6745.099891,"e,a",4080.599742,e,640.3294091,e
2000,AUT,D,H50,74.09530964,"e,a",22.90934883,"e,a",36.20815429,e,9.175761819,e
2000,AUT,D,H51,2300.409006,"e,a",708.0555824,"e,a",782.5127642,e,357.9730104,e
2000,AUT,D,H52,2159.518652,"e,a",1515.631403,"e,a",863.8396352,e,57.46742925,e
2000,AUT,D,H53,2007.752794,"e,a",1222.646517,"e,a",192.2994227,e,73.96517762,e
2000,AUT,D,I55T56,11543.98451,,7034.848804,"e,a",1879.093128,"e,a",670.8715969,"e,a"
2000,AUT,D,J58T60,2815.309367,"e,a",1248.009801,"e,a",448.8542752,"e,a",213.5659443,"e,a"
2000,AUT,D,J61,5076.196069,"e,a",2008.860203,"e,a",472.1285492,"e,a",744.2517895,"e,a"
2000,AUT,D,J62T63,3785.231798,,1930.164091,"e,a",226.5922226,"e,a",188.6721018,"e,a"
2000,AUT,D,K64T66,15644.57668,,9185.771889,e,2261.404466,e,915.4089919,e
2000,AUT,D,L68,20569.96508,,14091.12661,"e,a",603.6335962,"e,a",435.3419926,"e,a"
2000,AUT,D,M69T75,12425.5005,a,6395.189955,"e,a",2718.196249,"e,a",929.7422755,"e,a"
2000,AUT,D,N77T82,7200.429337,a,4785.583987,"e,a",555.6988449,"e,a",355.5600945,"e,a"
2000,AUT,D,O84,15172.2876,,10668.13854,,139.4691143,,739.2960549,
2000,AUT,D,P85,11349.48942,"e,a",9965.912797,e,10.51674271,e,231.2082071,e
2000,AUT,D,Q86T88,15552.35115,"e,a",10559.58554,e,209.1097438,e,1146.18559,e
2000,AUT,D,R90T93,2843.458855,"e,a",1930.396383,e,466.8288441,e,127.6464118,e
2000,AUT,D,S94T96,4099.041968,"e,a",2508.455795,e,189.2688027,e,254.1857975,e
2000,AUT,D,T97T98,175.5707,,175.5707,,0,,0,
2000,AUT,F,A01T03,112.3593046,"e,a",43.58315236,e,15.71174038,e,24.18573775,e
2000,AUT,F,B05T09,314.1959482,,131.2981039,"e,a",52.30482926,"e,a",57.63685532,"e,a"
2000,AUT,F,C10T12,1874.063235,"e,a",684.1644546,"e,a",394.1108399,e,299.8298519,e
2000,AUT,F,C13T15,974.898302,"e,a",367.4328167,"e,a",435.0717598,e,216.9388404,"e,a"
2000,AUT,F,C16,392.5891669,"e,a",109.7362655,"e,a",161.2198223,"e,a",65.04066087,"e,a"
2000,AUT,F,C17T18,1768.23964,"e,a",576.3166454,"e,a",738.529172,"e,a",421.8558972,"e,a"
2000,AUT,F,C19,0,"e,a",0,e,0,e,0,e
2000,AUT,F,C20,2035.004638,"e,a",700.4768699,"e,a",926.0593719,"e,a",404.7798973,"e,a"
2000,AUT,F,C21,1460.936443,"e,a",722.4945497,"e,a",599.9581275,"e,a",262.1748145,"e,a"
