iso3,year,commodity,sub_commodity,bgs_commodity_code,hs_code,production,unit,source
KAZ,2017,phosphate rock,,738,2510,1207900.0,tonnes (metric),BGS_WMS
KAZ,2017,salt,,760,,803794.0,tonnes (metric),BGS_WMS
KAZ,2017,titanium minerals,,798,2614,9400.0,tonnes (metric),BGS_WMS
KAZ,2017,alumina,,820,,1508240.0,tonnes (Al2O3 content),BGS_WMS
KAZ,2017,"antimony, mine",,821,2617,200.0,tonnes (metal content),BGS_WMS
KAZ,2017,asbestos,,822,,192700.0,tonnes (metric),BGS_WMS
KAZ,2017,"bismuth, mine",,834,2617,240.0,tonnes (metal content),BGS_WMS
KAZ,2017,borates,,835,,500000.0,tonnes (metric),BGS_WMS
KAZ,2017,"copper, smelter",,850,,296500.0,tonnes (metric),BGS_WMS
KAZ,2017,ferro-alloys,Ferro-chrome,861,,1640299.0,tonnes (metric),BGS_WMS
KAZ,2017,ferro-alloys,Ferro-silico-chrome,869,,110497.0,tonnes (metric),BGS_WMS
KAZ,2017,ferro-alloys,Ferro-silico-manganese,871,,123977.0,tonnes (metric),BGS_WMS
KAZ,2017,ferro-alloys,Ferro-silicon,872,,60001.0,tonnes (metric),BGS_WMS
KAZ,2017,"gold, mine",,883,7108,85339.0,kilograms,BGS_WMS
KAZ,2017,"lead, mine",,891,2607,111200.0,tonnes (metal content),BGS_WMS
KAZ,2017,manganese ore,,898,2602,1460000.0,tonnes (metric),BGS_WMS
KAZ,2017,natural gas,,905,,52921.0,million cubic metres,BGS_WMS
KAZ,2017,"iron, pig",,913,,3766322.0,tonnes (metric),BGS_WMS
KAZ,2017,"aluminium, primary",,922,,255090.0,tonnes (metric),BGS_WMS
KAZ,2017,"copper, refined",,928,,426191.0,tonnes (metric),BGS_WMS
KAZ,2017,"lead, refined",,929,,147328.0,tonnes (metric),BGS_WMS
KAZ,2017,"selenium, refined",,939,,40.0,tonnes (metric),BGS_WMS
KAZ,2017,"zinc, slab",,945,,331018.0,tonnes (metric),BGS_WMS
KAZ,2017,"steel, crude",,946,,4657009.0,tonnes (metric),BGS_WMS
KAZ,2017,uranium,,977,2617,23321.0,tonnes (metal content),BGS_WMS
KAZ,2017,"vanadium, mine",,978,2615,1000.0,tonnes (metal content),BGS_WMS
KAZ,2017,"zinc, mine",,982,2608,345000.0,tonnes (metal content),BGS_WMS
AUS,2017,barytes,,1043,,8957.0,tonnes (metric),BGS_WMS
AUS,2017,ferro-alloys,Ferro-manganese & ferro-silico-manganese,1992,,245000.0,tonnes (metric),BGS_WMS
AUS,2017,"copper, mine",,19941,2603,849121.0,tonnes (metal content),BGS_WMS
AUS,2017,"nickel, mine",,19951,2604,185466.0,tonnes (metal content),BGS_WMS
AUS,2017,"silver, mine",,1995,7106,1120175.0,kilograms (metal content),BGS_WMS
AUS,2017,"tin, smelter",,19961,,21.0,tonnes (metric),BGS_WMS
AUS,2017,rare earth oxides,,20238,,16003.0,tonnes (metric),BGS_WMS
AUS,2017,helium,Helium,20274,,4.0,million cubic metres,BGS_WMS
AUS,2017,tantalum and niobium minerals,Tantalite -Ta content,20301,2615,36.0,tonnes (metric),BGS_WMS
AUS,2017,lithium minerals,Spodumene (Li content),20311,,47512.0,tonnes (metric),BGS_WMS
AUS,2017,bauxite,,589,2606,89420589.0,tonnes (metric),BGS_WMS
AUS,2017,bentonite and fuller's earth,Bentonite,596,,116762.0,tonnes (metric),BGS_WMS
AUS,2017,bentonite and fuller's earth,Fuller's earth,597,,11871.0,tonnes (metric),BGS_WMS
AUS,2017,coal,Bituminous,610,,435889000.0,tonnes (metric),BGS_WMS
AUS,2017,coal,Brown coal,612,,56095000.0,tonnes (metric),BGS_WMS
AUS,2017,"cobalt, refined",,617,,3042.0,tonnes (metric),BGS_WMS
AUS,2017,"petroleum, crude",,634,,15495471.0,tonnes (metric),BGS_WMS
AUS,2017,diatomite,,642,,1081.0,tonnes (metric),BGS_WMS
