iso3,year,cit_revenue_usd
NOR,2023,57952921000.0
NZL,2015,7954811000.0
NZL,2016,9370530000.0
NZL,2017,9651785000.0
NZL,2018,10765552000.0
NZL,2019,8179198000.0
NZL,2020,11555337000.0
NZL,2021,13984298000.0
NZL,2022,11352519000.0
NZL,2023,10987864000.0
OECD_REP,2015,31206796000.0
OECD_REP,2016,32227899000.0
OECD_REP,2017,32152884000.0
OECD_REP,2018,34756650000.0
OECD_REP,2019,33062300000.0
OECD_REP,2020,32171996999.999996
OECD_REP,2021,44420745000.0
OECD_REP,2022,51525343000.0
OECD_REP,2023,52476404000.0
PAN,2015,851275000.0
PAN,2016,1035850600.0000001
PAN,2017,942846400.0
PAN,2018,954745040.0
PAN,2019,902298656.0
PAN,2020,594982504.0
PAN,2021,581857010.0
PAN,2022,953599413.0
PAN,2023,1231014075.0
PER,2015,6457692041.0
PER,2016,6068747044.0
PER,2017,6416530361.0
PER,2018,7669447732.0
PER,2019,7696014612.0
PER,2020,5651746526.0
PER,2021,9145999167.0
PER,2022,12635355540.0
PER,2023,10993117690.0
PHL,2015,12470418878.6931
PHL,2016,12958336589.039501
PHL,2017,13550463077.540699
PHL,2018,13333489521.136301
PHL,2019,13814311777.219799
PHL,2020,13025404821.9957
PHL,2021,12043624240.138
PHL,2022,11322129185.7762
PHL,2023,12797510874.5372
PNG,2015,1019781602.6069999
PNG,2016,779248327.6392261
PNG,2017,697305141.102574
PNG,2018,916144898.7822059
PNG,2019,843739756.786413
PNG,2020,621758991.391317
PNG,2021,823120855.255816
PNG,2022,2159608032.2881203
PNG,2023,2105185420.96467
POL,2015,8782067000.0
POL,2016,8669004000.0
POL,2017,10149939000.0
POL,2018,12272556000.0
POL,2019,13181052000.0
POL,2020,13557820000.0
POL,2021,17759833000.0
POL,2022,19239492000.0
POL,2023,21260961000.0
PRT,2015,6228341000.0
PRT,2016,6280674000.0
PRT,2017,7095382000.0
PRT,2018,8032951000.000001
PRT,2019,7458088000.0
PRT,2020,6327830000.0
PRT,2021,6157222000.0
PRT,2022,8510346000.0
PRT,2023,9950783000.0
PRY,2015,674966253.0
PRY,2016,711148403.0
PRY,2017,811559461.0
PRY,2018,809316058.0
PRY,2019,865739015.0
PRY,2020,808412412.0
PRY,2021,967757115.0
PRY,2022,1194578091.0
PRY,2023,1058843727.0
ROU,2015,4175958709.9999995
ROU,2016,4184659819.0
ROU,2017,4247115108.0
ROU,2018,4990515314.0
ROU,2019,5240890294.0
ROU,2020,4704509339.0
ROU,2021,6317948417.0
ROU,2022,9105071478.0
ROU,2023,7962631157.0
RWA,2015,215557761.3
RWA,2016,224251143.7
RWA,2017,252680876.39999998
RWA,2018,294011762.3
RWA,2019,318329337.9
RWA,2020,334467313.8
RWA,2021,390787958.9
RWA,2022,460600156.79999995
RWA,2023,492977510.5
SEN,2015,249180636.9
SEN,2016,279197193.79999995
SEN,2017,474292078.8
SEN,2018,505481816.8
SEN,2019,601113202.0
SEN,2020,611054783.5
SEN,2021,793737509.7
SEN,2022,861519845.9
SEN,2023,1009597031.0
SGP,2015,10367428581.8195
SGP,2016,10407036754.476501
SGP,2017,14345312019.1176
SGP,2018,12990772825.8758
SGP,2019,13583470536.4041
SGP,2020,13503249158.1759
SGP,2021,15669122720.5703
SGP,2022,17787224803.6691
SGP,2023,22143688942.154503
SLB,2015,34958969.4470634
SLB,2016,33439069.7682415
SLB,2017,38149554.0901578
