iso3_o	iso3_d	emp	pi	txc	revt	t_at
NOR	MEX	6170.0	-4096000.0	10203000.0	341548000.0	108247000.0
NOR	MLT	80.0	88419600.0	1533000.0	102802000.0	2525950000.0
NOR	MMR	1080.0	64157000.0	39505000.0	722857000.0	642961000.0
NOR	MYS	4630.0	940187000.0	133098000.0	2026115000.0	1529410000.0
NOR	NLD	5790.0	1233150300.0	32809000.0	1544596000.0	3805944000.0
NOR	NOR	194710.0	28479019400.0	10745981000.0	168616251000.0	144431579000.0
NOR	NZL	470.0	14480000.0	2800000.0	199371000.0	10225000.0
NOR	OAF	800.0	3000224450.0	1510023000.0	2181486000.0	3425654000.0
NOR	OAM	620.0	-97385000.0	833000.0	281642000.0	459999000.0
NOR	OAS	9880.0	1309862850.0	434932000.0	2953352000.0	3172841000.0
NOR	OTE	610.0	47128550.0	3442000.0	229105000.0	1008307000.0
NOR	PAN	140.0	2486000.0	221000.0	15112000.0	2014000.0
NOR	PER	1620.0	99962000.0	6403000.0	425915000.0	2772084000.0
NOR	PHL	1980.0	3353000.0	1823000.0	122607000.0	62949000.0
NOR	POL	11690.0	58072000.0	23794000.0	1127347000.0	694086000.0
NOR	PRT	380.0	6794000.0	1456000.0	114497000.0	31198000.0
NOR	ROU	1330.0	-1325000.0	685000.0	114069000.0	43726000.0
NOR	RUS	1060.0	26780000.0	20071000.0	388105000.0	248233000.0
NOR	SGP	2120.0	-717021000.0	13915000.0	2615216000.0	1457911000.0
