iso3,year,fsi_indicator_si01,fsi_indicator_si02,fsi_indicator_si03,fsi_indicator_si04,fsi_indicator_si05,fsi_indicator_si06,fsi_indicator_si07,fsi_indicator_si08,fsi_indicator_si09,fsi_indicator_si10,fsi_indicator_si11,fsi_indicator_si12,fsi_indicator_si13,fsi_indicator_si14,fsi_indicator_si15,fsi_indicator_si16,fsi_indicator_si17,fsi_indicator_si18,fsi_indicator_si19,fsi_indicator_si20
CUW,2025,50.0,50.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,80.0,100.0,48.47,42.1551724137931,0.0,28.0
CYM,2025,14.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0,14.71,2.068965517241381,0.0,55.5
CYP,2025,54.0,100.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,65.0,75.0,90.0,30.0,100.0,40.03,0.0,0.0,44.0
CZE,2025,27.0,0.0,100.0,75.0,0.0,80.0,12.5,100.0,25.0,50.0,50.0,65.0,37.5,100.0,40.0,100.0,68.95,0.0,0.0,10.0
DEU,2025,24.0,75.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,85.0,0.0,30.0,10.0,95.0,64.38,0.0,0.0,24.0
DMA,2025,60.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,80.0,100.0,70.0,60.0,0.0,42.97,63.793103448275865,0.0,15.5
DNK,2025,47.0,0.0,100.0,50.0,0.0,100.0,50.0,0.0,100.0,50.0,50.0,65.0,0.0,30.0,10.0,100.0,18.63,0.0,0.0,10.0
DOM,2025,34.0,50.0,0.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,70.0,60.0,50.0,17.32,90.0,0.0,52.0
DZA,2025,86.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,37.5,100.0,60.0,100.0,57.0,100.0,100.0,63.5
ECU,2025,63.0,50.0,0.0,0.0,0.0,100.0,50.0,0.0,25.0,100.0,100.0,60.0,75.0,100.0,60.0,30.0,20.92,31.03448275862069,0.0,30.0
EGY,2025,61.0,75.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,30.0,50.0,100.0,16.99,50.0,100.0,57.5
ESP,2025,37.0,0.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,45.0,75.0,90.0,10.0,100.0,58.17,0.0,0.0,2.0
EST,2025,30.0,0.0,100.0,50.0,0.0,90.0,25.0,0.0,50.0,50.0,50.0,85.0,75.0,100.0,40.0,100.0,46.57,0.0,0.0,30.0
FIN,2025,40.0,0.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,45.0,0.0,40.0,20.0,100.0,66.99,0.0,0.0,8.0
FJI,2025,40.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,80.0,75.0,100.0,60.0,100.0,44.61,100.0,100.0,48.0
FRA,2025,34.0,50.0,0.0,50.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,65.0,37.5,100.0,10.0,100.0,36.11,0.0,0.0,2.0
GBR,2025,24.0,100.0,0.0,50.0,100.0,100.0,100.0,0.0,0.0,50.0,75.0,15.0,37.5,90.0,20.0,100.0,8.82,0.0,0.0,26.0
GGY,2025,44.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,80.0,100.0,9.8,0.0,0.0,49.5
GHA,2025,40.0,100.0,0.0,25.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,60.0,0.0,0.0,50.0,100.0,19.28,36.46551724137931,0.0,12.0
GIB,2025,24.0,100.0,100.0,50.0,100.0,100.0,75.0,20.0,100.0,100.0,100.0,85.0,75.0,100.0,90.0,100.0,13.73,0.0,0.0,51.5
GMB,2025,73.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0,60.0,0.0,30.39,100.0,100.0,63.5
GRC,2025,27.0,0.0,0.0,75.0,0.0,100.0,100.0,100.0,100.0,50.0,50.0,45.0,75.0,80.0,10.0,100.0,64.71000000000001,0.0,0.0,6.0
GRD,2025,70.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,60.0,100.0,28.1,48.62068965517241,0.0,10.0
GTM,2025,47.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,75.0,100.0,50.0,100.0,41.67,100.0,0.0,57.5
GUM,2025,41.0,100.0,0.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,90.0,100.0,17.32,100.0,100.0,78.0
HKG,2025,67.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,37.5,100.0,10.0,100.0,16.01,29.310344827586206,0.0,57.5
HRV,2025,21.0,0.0,0.0,100.0,0.0,80.0,100.0,100.0,100.0,50.0,50.0,65.0,37.5,40.0,50.0,100.0,44.61,5.0,0.0,32.0
HUN,2025,61.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,65.0,0.0,40.0,40.0,100.0,19.93,0.0,0.0,10.0
IDN,2025,41.0,50.0,0.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,37.5,90.0,20.0,100.0,43.63,0.0,0.0,37.5
IMN,2025,24.0,100.0,100.0,50.0,0.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,37.5,100.0,90.0,100.0,14.71,0.0,0.0,55.5
IND,2025,34.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,65.0,37.5,70.0,10.0,100.0,15.69,26.293103448275865,0.0,15.5
IRL,2025,31.0,75.0,0.0,50.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,45.0,37.5,90.0,20.0,100.0,40.03,0.0,0.0,53.5
ISL,2025,33.0,50.0,100.0,50.0,0.0,100.0,50.0,0.0,25.0,100.0,50.0,100.0,37.5,40.0,40.0,80.0,15.36,8.879310344827587,0.0,10.0
ISR,2025,51.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,65.0,37.5,90.0,40.0,100.0,37.67,0.1724137931034448,0.0,48.0
ITA,2025,34.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0,65.0,75.0,90.0,10.0,100.0,37.42,0.0,0.0,26.0
JEY,2025,24.0,100.0,50.0,25.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37.5,100.0,80.0,100.0,10.46,0.0,0.0,49.5
JOR,2025,67.0,100.0,0.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,75.0,100.0,60.0,100.0,22.22,100.0,0.0,59.5
JPN,2025,21.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,37.5,80.0,10.0,100.0,43.0,0.0,0.0,30.0
KAZ,2025,57.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,40.0,40.0,100.0,18.63,45.77586206896552,0.0,57.5
KEN,2025,50.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,37.5,100.0,60.0,100.0,21.57,37.93103448275862,0.0,17.5
KNA,2025,63.0,75.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100.0,48.86,45.603448275862064,0.0,59.5
KOR,2025,37.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,70.0,20.0,100.0,41.67,0.0,0.0,35.5
KWT,2025,67.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,40.0,100.0,22.88,47.5,0.0,21.5
LBN,2025,50.0,100.0,0.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,40.0,0.0,19.93,55.689655172413794,0.0,63.5
LBR,2025,33.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,37.5,100.0,60.0,20.0,55.72,75.0,0.0,45.5
LCA,2025,57.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,70.0,100.0,22.88,36.03448275862069,0.0,61.5
LIE,2025,67.0,100.0,50.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,37.5,100.0,90.0,100.0,66.01,0.0,0.0,46.0
LKA,2025,67.0,75.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,80.0,75.0,80.0,50.0,100.0,48.53,100.0,100.0,54.0
LTU,2025,20.0,100.0,0.0,75.0,0.0,100.0,100.0,100.0,100.0,50.0,50.0,45.0,37.5,90.0,30.0,100.0,43.3,0.0,0.0,10.0
LUX,2025,37.0,100.0,0.0,75.0,100.0,100.0,100.0,100.0,25.0,50.0,50.0,65.0,75.0,40.0,10.0,100.0,59.8,0.0,0.0,24.0
LVA,2025,61.0,50.0,0.0,50.0,100.0,100.0,50.0,0.0,100.0,50.0,50.0,65.0,37.5,100.0,30.0,100.0,43.3,0.0,0.0,30.0
