# Canonical GDP: World Bank WDI indicator NY.GDP.MKTP.CD (GDP, current US$),
# all reporting countries, 2016-2022. Fetched 2026-07-19 from
# https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD . WB aggregate
# rows dropped (iso3 filtered against pycountry). SINGLE canonical GDP for the repo
# (CbCR pipeline + extractive WB-GDP reference). Refresh: re-run src/_fetch_canonical_gdp.py.
iso3,year,gdp_current_usd
KIR,2022,271214374.500577
KNA,2016,1006818518.51852
KNA,2017,1056977777.77778
KNA,2018,1076548148.14815
KNA,2019,1107855555.55556
KNA,2020,883922222.222222
KNA,2021,858622222.222222
KNA,2022,981429629.62963
KOR,2016,1579150518945.44
KOR,2017,1710196756713.17
KOR,2018,1824251454306.83
KOR,2019,1751045752054.63
KOR,2020,1744070276373.34
KOR,2021,1942313560965.9
KOR,2022,1799363116866.52
KWT,2016,109406674124.652
KWT,2017,120687539805.505
KWT,2018,138646316350.727
KWT,2019,140856394860.529
KWT,2020,111045470605.715
KWT,2021,148350671489.144
KWT,2022,183502046693.878
LAO,2016,15912501722.6143
LAO,2017,17071155481.4994
LAO,2018,18141641089.7963
LAO,2019,18740561512.5555
LAO,2020,18981805250.2424
LAO,2021,18827148530.9347
LAO,2022,15468785203.7532
LBN,2016,51147308774.1294
LBN,2017,53027680685.9038
LBN,2018,54901519155.5556
LBN,2019,51605959131.2741
LBN,2020,31712128253.7961
LBN,2021,23131941556.7843
LBN,2022,20992421948.8081
LBR,2016,3398419600
LBR,2017,3390703400
LBR,2018,3422754800
LBR,2019,3319596500
LBR,2020,3176126300
LBR,2021,3513049500
LBR,2022,4001047000
LBY,2016,49912073701.298
LBY,2017,67157452181.7738
LBY,2018,76686029772.1483
LBY,2019,69254496471.6938
LBY,2020,46854285440.642
LBY,2021,35217995647.2862
LBY,2022,43246297921.8499
LCA,2016,1868544444.44444
LCA,2017,1998503703.7037
LCA,2018,2060955555.55556
LCA,2019,2090074074.07407
LCA,2020,1521740740.74074
LCA,2021,1871111111.11111
LCA,2022,2319888888.88889
LIE,2016,6237302033.50132
LIE,2017,6474308717.85289
LIE,2018,6692620691.84146
LIE,2019,6436467007.11932
LIE,2020,6405870210.32293
LIE,2021,7912602342.18895
LIE,2022,7426856242.7736
LKA,2016,88000210878.1236
LKA,2017,94369350439.4732
LKA,2018,94450015982.806
LKA,2019,88998706177.9986
LKA,2020,84335574372.2997
LKA,2021,88556699052.2008
LKA,2022,74143020303.663
LSO,2016,2114426452.2019
LSO,2017,2306741672.29006
LSO,2018,2556247291.99785
LSO,2019,2390702295.82777
LSO,2020,2053699863.99625
LSO,2021,2412130056.55851
LSO,2022,2354980960.02697
LTU,2016,42970749245.0336
LTU,2017,47756764508.446
LTU,2018,54261795148.5372
LTU,2019,55122066225.796
LTU,2020,57412038533.2718
LTU,2021,67072165721.2431
LTU,2022,70639687325.6326
LUX,2016,62216885435.9488
LUX,2017,65712180342.9836
LUX,2018,71085623495.1145
LUX,2019,69872035113.6469
LUX,2020,73670782100.3909
LUX,2021,86386759695.1653
LUX,2022,80801680397.0139
LVA,2016,27117105059.5075
LVA,2017,29391059767.4259
LVA,2018,33247935477.3576
LVA,2019,33099503950.847
LVA,2020,33379927434.6149
LVA,2021,38183326784.9335
LVA,2022,38003198508.9107
MAC,2016,44964868323.7558
MAC,2017,50297028370.6668
MAC,2018,55076322634.344
MAC,2019,55025172016.004
MAC,2020,25280064167.7333
MAC,2021,30633941629.3633
MAC,2022,24929307447.3237
MAF,2019,652206037.103874
MAF,2021,649206262.847519
MAR,2016,111572947004.917
MAR,2017,118540573367.844
MAR,2018,127341147581.818
MAR,2019,128920266409.458
MAR,2020,121353645057.144
MAR,2021,142022058447.231
MAR,2022,131245312804.483
MCO,2016,6471287668.59924
MCO,2017,6430258224.58825
MCO,2018,7184336760.39215
MCO,2019,7383494129.41175
MCO,2020,6730733230.81714
MCO,2021,8623241326.74405
MCO,2022,8800432773.73544
MDA,2016,7980917075.7748
MDA,2017,9514404016.20949
MDA,2018,11252353420.8798
MDA,2019,11736797054.6965
MDA,2020,11530746234.4492
MDA,2021,13691869264.0794
MDA,2022,14525337523.7271
MDG,2016,11848613858.442
MDG,2017,13176313593.5509
